#	Isochrone	Z = 0.00000		Age = 	1.995e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	u' 	g' 	r' 	i' 	z' 	Flum
	6.30	357.92492676	353.6146	7.0250	3.9181	0.5799	-12.793	-11.810	-12.867	-12.669	-12.488	-12.446	-0.00026427
	6.30	358.10577393	353.7875	7.0252	3.9106	0.5498	-12.793	-11.789	-12.886	-12.692	-12.516	-12.481	-0.00026409
	6.30	358.27536011	353.9496	7.0255	3.9030	0.5196	-12.794	-11.768	-12.904	-12.716	-12.545	-12.517	-0.00026392
	6.30	358.43365479	354.1010	7.0257	3.8954	0.4892	-12.794	-11.758	-12.911	-12.737	-12.573	-12.554	-0.00026376
	6.30	358.58636475	354.2470	7.0259	3.8876	0.4579	-12.795	-11.756	-12.910	-12.756	-12.600	-12.592	-0.00026361
	6.30	358.71084595	354.3660	7.0261	3.8796	0.4259	-12.795	-11.754	-12.908	-12.777	-12.628	-12.632	-0.00026349
	6.30	358.88632202	354.5338	7.0264	3.8706	0.3895	-12.796	-11.733	-12.907	-12.793	-12.656	-12.669	-0.00026331
	6.30	359.08444214	354.7232	7.0266	3.8605	0.3493	-12.796	-11.687	-12.906	-12.803	-12.683	-12.701	-0.00026312
	6.30	359.27136230	354.9020	7.0268	3.8518	0.3144	-12.797	-11.648	-12.904	-12.811	-12.705	-12.729	-0.00026293
	6.30	359.52630615	355.1457	7.0272	3.8432	0.2803	-12.798	-11.610	-12.887	-12.819	-12.731	-12.756	-0.00026268
	6.30	359.87783813	355.4818	7.0275	3.8353	0.2484	-12.799	-11.575	-12.866	-12.826	-12.755	-12.782	-0.00026234
	6.30	360.38858032	355.9701	7.0280	3.8272	0.2163	-12.800	-11.539	-12.846	-12.833	-12.780	-12.807	-0.00026183
	6.30	361.04754639	356.6001	7.0285	3.8170	0.1758	-12.801	-11.493	-12.808	-12.841	-12.810	-12.840	-0.00026119
	6.30	361.70742798	357.2308	7.0289	3.8084	0.1415	-12.802	-11.453	-12.772	-12.847	-12.836	-12.867	-0.00026055
	6.30	362.62469482	358.1076	7.0286	3.8004	0.1109	-12.801	-11.414	-12.737	-12.851	-12.858	-12.890	-0.00025966
	6.30	364.46987915	359.8711	7.0310	3.7918	0.0764	-12.807	-11.365	-12.708	-12.861	-12.886	-12.924	-0.00025788
	6.30	365.59857178	360.9497	7.0300	3.7875	0.0613	-12.805	-11.333	-12.688	-12.860	-12.894	-12.936	-0.00025681
	6.30	500.00000000	488.6684	7.2144	3.7988	0.0540	-13.266	-11.869	-13.195	-13.316	-13.327	-13.360	-0.00016829
	6.30	750.00000000	604.0855	7.4196	3.8234	0.0389	-13.779	-12.500	-13.812	-13.815	-13.770	-13.798	-0.00009735
	6.30	1000.00000000	442.9112	7.4259	5.0771	4.9127	-13.795	-7.852	-7.309	-6.737	-6.335	-5.967	-0.00006602
#	Isochrone	Z = 0.00000		Age = 	2.239e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	u' 	g' 	r' 	i' 	z' 	Flum
	6.35	0.69999999	0.7000	-0.5171	3.7545	4.7642	6.063	7.355	6.522	6.113	5.964	5.913	-1.19890256
	6.35	0.80000001	0.8000	-0.2397	3.7909	4.6904	5.369	6.463	5.733	5.443	5.351	5.341	-1.00113983
	6.35	0.89999998	0.9000	0.0033	3.8244	4.6325	4.762	5.781	5.050	4.857	4.816	4.845	-0.85396262
	6.35	1.00000000	1.0000	0.2186	3.8568	4.5927	4.224	5.240	4.436	4.334	4.346	4.415	-0.74074074
	6.35	1.10000002	1.1000	0.4092	3.8928	4.5875	3.747	4.792	3.879	3.878	3.954	4.067	-0.65130752
	6.35	1.20000005	1.2000	0.5696	3.9292	4.6105	3.346	4.429	3.430	3.531	3.669	3.822	-0.57912395
	6.35	1.29999995	1.3000	0.7232	3.9642	4.6316	2.962	4.080	3.076	3.263	3.447	3.624	-0.51980772
	6.35	1.39999998	1.4000	0.8634	3.9956	4.6493	2.612	3.751	2.810	3.047	3.261	3.454	-0.47031994
	6.35	1.50000000	1.5000	0.9902	4.0238	4.6652	2.294	3.458	2.605	2.875	3.106	3.310	-0.42849231
	6.35	1.60000002	1.6000	1.1054	4.0495	4.6809	2.007	3.201	2.438	2.729	2.973	3.186	-0.39273920
	6.35	1.70000005	1.7000	1.2152	4.0739	4.6949	1.732	2.965	2.287	2.594	2.849	3.070	-0.36187632
	6.35	1.79999995	1.8000	1.3182	4.0953	4.7024	1.474	2.748	2.141	2.462	2.724	2.953	-0.33500274
	6.35	1.89999998	1.9000	1.4073	4.1170	4.7234	1.252	2.574	2.035	2.369	2.638	2.875	-0.31142170
	6.35	2.00000000	2.0000	1.4964	4.1359	4.7324	1.029	2.398	1.916	2.260	2.535	2.779	-0.29058670
	6.35	2.09999990	2.1000	1.5771	4.1534	4.7425	0.827	2.241	1.810	2.163	2.444	2.695	-0.27206346
	6.35	2.20000005	2.2000	1.6536	4.1710	4.7570	0.636	2.099	1.718	2.079	2.365	2.624	-0.25550276
